#,,,,Gain,,,,Check,,,,Average,,,,Saturation,,,
#Day,Time,Address,State,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm
2018-03-28,16:16:47,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1603,3564,1187,3670,0,600,0,600
2018-03-28,16:16:48,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1603,2701,1187,2721,0,1,0,1
2018-03-28,16:16:48,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1987,2351,1754,2141,0,0,0,0
2018-03-28,16:17:04,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1600,3563,1186,3664,0,600,0,600
2018-03-28,16:17:05,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1600,2700,1186,2716,0,1,0,1
2018-03-28,16:17:05,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1983,2349,1752,2138,0,0,0,0
2018-05-31,16:17:27,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1541,3586,1345,3647,0,600,0,600
2018-05-31,16:17:28,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1541,2719,1344,2718,0,1,0,1
2018-05-31,16:17:29,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1909,2355,1987,2198,0,0,0,0
2018-05-31,16:18:05,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1529,3594,1337,3656,0,600,0,600
2018-05-31,16:18:06,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1529,2722,1337,2721,0,1,0,1
2018-05-31,16:18:06,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1895,2342,1976,2185,0,0,0,0
2018-05-31,16:18:33,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1524,3598,1333,3660,0,600,0,600
2018-05-31,16:18:34,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1523,2724,1333,2724,0,1,0,1
2018-05-31,16:18:35,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1888,2336,1971,2179,0,0,0,0
2018-05-31,16:20:52,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1474,3498,1465,3626,0,600,0,600
